Route_NO,States Transportation Name,Bus Routes,Bus Routes Link
236,PEPSU (Punjab),Chandigarh to Patiala,https://www.redbus.in/bus-tickets/chandigarh-to-patiala
237,RSRTC,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
238,RSRTC,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
239,RSRTC,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur
240,RSRTC,Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
241,RSRTC,Sikar to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/sikar-to-jaipur
242,RSRTC,Kishangarh to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/kishangarh-to-jaipur
243,RSRTC,Aligarh (uttar pradesh) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-jaipur
244,RSRTC,Jodhpur to Beawar (Rajasthan),https://www.redbus.in/bus-tickets/jodhpur-to-beawer
245,RSRTC,Kota(Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/kota-rajasthan-to-jaipur
246,RSRTC,Jaipur (Rajasthan) to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/jaipur-to-aligarh-uttar-pradesh
247,RSRTC,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
248,RSRTC,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur
249,RSRTC,Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur
250,RSRTC,Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur
251,RSRTC,Sikar to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/sikar-to-jaipur
252,RSRTC,Kishangarh to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/kishangarh-to-jaipur
253,RSRTC,Aligarh (uttar pradesh) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-jaipur
254,RSRTC,Jodhpur to Beawar (Rajasthan),https://www.redbus.in/bus-tickets/jodhpur-to-beawer
255,RSRTC,Kota(Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/kota-rajasthan-to-jaipur
256,RSRTC,Jaipur (Rajasthan) to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/jaipur-to-aligarh-uttar-pradesh
257,RSRTC,Jaipur (Rajasthan) to Kota(Rajasthan),https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan
258,RSRTC,Pali (Rajasthan) to Udaipur,https://www.redbus.in/bus-tickets/pali-to-udaipur
259,RSRTC,Udaipur to Pali (Rajasthan),https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan
260,RSRTC,Sikar to Bikaner,https://www.redbus.in/bus-tickets/sikar-to-bikaner
261,RSRTC,Jaipur (Rajasthan) to Bharatpur,https://www.redbus.in/bus-tickets/jaipur-to-bharatpur
262,RSRTC,Kishangarh to Jodhpur,https://www.redbus.in/bus-tickets/kishangarh-to-jodhpur
263,RSRTC,Jaipur (Rajasthan) to Bhilwara,https://www.redbus.in/bus-tickets/jaipur-to-bhilwara
264,RSRTC,Kota(Rajasthan) to Udaipur,https://www.redbus.in/bus-tickets/kota-rajasthan-to-udaipur
265,RSRTC,Jaipur (Rajasthan) to Pilani,https://www.redbus.in/bus-tickets/jaipur-to-pilani
266,RSRTC,Jaipur (Rajasthan) to Mathura,https://www.redbus.in/bus-tickets/jaipur-to-mathura
267,RSRTC,Bikaner to Sikar,https://www.redbus.in/bus-tickets/bikaner-to-sikar
268,HRTC,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
269,HRTC,Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
270,HRTC,Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
271,HRTC,Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
272,HRTC,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali
273,HRTC,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
274,HRTC,Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
275,Chandigarh Transport Undertaking (CTU),Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
276,Chandigarh Transport Undertaking (CTU),Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh
277,Chandigarh Transport Undertaking (CTU),Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh
278,Chandigarh Transport Undertaking (CTU),Chandigarh to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-shimla
279,Chandigarh Transport Undertaking (CTU),Chandigarh to Vrindavan,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan
280,Chandigarh Transport Undertaking (CTU),Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar
281,Chandigarh Transport Undertaking (CTU),Chandigarh to Sujanpur (himachal pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-sujanpur
282,Chandigarh Transport Undertaking (CTU),Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh
283,Chandigarh Transport Undertaking (CTU),Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
284,Chandigarh Transport Undertaking (CTU),Vrindavan to Chandigarh,https://www.redbus.in/bus-tickets/vrindavan-to-chandigarh
285,Chandigarh Transport Undertaking (CTU),Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi
286,Chandigarh Transport Undertaking (CTU),Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh
287,Chandigarh Transport Undertaking (CTU),Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh
288,Chandigarh Transport Undertaking (CTU),Chandigarh to Shimla,https://www.redbus.in/bus-tickets/chandigarh-to-shimla
289,Chandigarh Transport Undertaking (CTU),Chandigarh to Vrindavan,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan
290,Chandigarh Transport Undertaking (CTU),Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar
291,Chandigarh Transport Undertaking (CTU),Chandigarh to Sujanpur (himachal pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-sujanpur
292,Chandigarh Transport Undertaking (CTU),Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh
293,Chandigarh Transport Undertaking (CTU),Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
294,Chandigarh Transport Undertaking (CTU),Vrindavan to Chandigarh,https://www.redbus.in/bus-tickets/vrindavan-to-chandigarh
295,Chandigarh Transport Undertaking (CTU),Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
296,Chandigarh Transport Undertaking (CTU),Sujanpur (himachal pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/sujanpur-to-chandigarh
297,Chandigarh Transport Undertaking (CTU),Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh
298,Chandigarh Transport Undertaking (CTU),Chandigarh to Ludhiana,https://www.redbus.in/bus-tickets/chandigarh-to-ludhiana
299,Chandigarh Transport Undertaking (CTU),Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala
300,Chandigarh Transport Undertaking (CTU),Chandigarh to Dehradun,https://www.redbus.in/bus-tickets/chandigarh-to-dehradun
301,Chandigarh Transport Undertaking (CTU),Chandigarh to Baijnath,https://www.redbus.in/bus-tickets/chandigarh-to-baijnath
302,Chandigarh Transport Undertaking (CTU),Pathankot to Chandigarh,https://www.redbus.in/bus-tickets/pathankot-to-chandigarh
303,Chandigarh Transport Undertaking (CTU),Chandigarh to Haridwar,https://www.redbus.in/bus-tickets/chandigarh-to-haridwar
304,Chandigarh Transport Undertaking (CTU),Chandigarh to Pathankot,https://www.redbus.in/bus-tickets/chandigarh-to-pathankot
305,Chandigarh Transport Undertaking (CTU),Talwara to Chandigarh,https://www.redbus.in/bus-tickets/talwara-to-chandigarh
306,Chandigarh Transport Undertaking (CTU),Dehradun to Chandigarh,https://www.redbus.in/bus-tickets/dehradun-to-chandigarh
307,Chandigarh Transport Undertaking (CTU),Amritsar to Chandigarh,https://www.redbus.in/bus-tickets/amritsar-to-chandigarh
308,Chandigarh Transport Undertaking (CTU),Chandigarh to Rishikesh,https://www.redbus.in/bus-tickets/chandigarh-to-rishikesh
309,Chandigarh Transport Undertaking (CTU),Chandigarh to Talwara,https://www.redbus.in/bus-tickets/chandigarh-to-talwara
310,Chandigarh Transport Undertaking (CTU),Chandigarh to Dinanagar (punjab),https://www.redbus.in/bus-tickets/chandigarh-to-dinanagar-punjab
311,Chandigarh Transport Undertaking (CTU),Dinanagar (punjab) to Chandigarh,https://www.redbus.in/bus-tickets/dinanagar-punjab-to-chandigarh
312,Chandigarh Transport Undertaking (CTU),Rishikesh to Chandigarh,https://www.redbus.in/bus-tickets/rishikesh-to-chandigarh
313,Chandigarh Transport Undertaking (CTU),Chandigarh to Amritsar,https://www.redbus.in/bus-tickets/chandigarh-to-amritsar
314,Chandigarh Transport Undertaking (CTU),Chandigarh to Agra,https://www.redbus.in/bus-tickets/chandigarh-to-agra
315,Chandigarh Transport Undertaking (CTU),Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh
316,Chandigarh Transport Undertaking (CTU),Chandigarh to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/chandigarh-to-katra
317,Chandigarh Transport Undertaking (CTU),Hisar (Haryana) to Chandigarh,https://www.redbus.in/bus-tickets/hisar-haryana-to-chandigarh
318,Chandigarh Transport Undertaking (CTU),Rohtak to Chandigarh,https://www.redbus.in/bus-tickets/rohtak-to-chandigarh
319,Chandigarh Transport Undertaking (CTU),Chandigarh to Una (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-una
320,Chandigarh Transport Undertaking (CTU),Chandigarh to Jammu (j and k),https://www.redbus.in/bus-tickets/chandigarh-to-jammu
321,Chandigarh Transport Undertaking (CTU),Chandigarh to Rohtak,https://www.redbus.in/bus-tickets/chandigarh-to-rohtak
322,Chandigarh Transport Undertaking (CTU),Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
323,Chandigarh Transport Undertaking (CTU),Chandigarh to Haldwani,https://www.redbus.in/bus-tickets/chandigarh-to-haldwani
324,Chandigarh Transport Undertaking (CTU),Jawala Ji to Chandigarh,https://www.redbus.in/bus-tickets/jawala-ji-to-chandigarh
325,Chandigarh Transport Undertaking (CTU),Agra to Chandigarh,https://www.redbus.in/bus-tickets/agra-to-chandigarh
326,Chandigarh Transport Undertaking (CTU),Jammu (j and k) to Chandigarh,https://www.redbus.in/bus-tickets/jammu-to-chandigarh
327,Chandigarh Transport Undertaking (CTU),Chandigarh to Hisar (Haryana),https://www.redbus.in/bus-tickets/chandigarh-to-hisar-haryana
328,Chandigarh Transport Undertaking (CTU),Chandigarh to Kathgodam,https://www.redbus.in/bus-tickets/chandigarh-to-kathgodam
329,Chandigarh Transport Undertaking (CTU),Haridwar to Chandigarh,https://www.redbus.in/bus-tickets/haridwar-to-chandigarh
330,Chandigarh Transport Undertaking (CTU),Katra (jammu and kashmir) to Chandigarh,https://www.redbus.in/bus-tickets/katra-to-chandigarh
331,Chandigarh Transport Undertaking (CTU),Baijnath to Chandigarh,https://www.redbus.in/bus-tickets/baijnath-to-chandigarh
332,Chandigarh Transport Undertaking (CTU),Narnaul to Chandigarh,https://www.redbus.in/bus-tickets/narnaul-to-chandigarh
333,Chandigarh Transport Undertaking (CTU),Chandigarh to Jawala Ji,https://www.redbus.in/bus-tickets/chandigarh-to-jawala-ji
